year,area_code,area,identity,pay_type,pay,confidence
2008,00AZ,Lewisham,Female,Hourly,11.87,6.3
2009,00AZ,Lewisham,Female,Hourly,12.69,5.2
2010,00AZ,Lewisham,Female,Hourly,13.27,4.5
2011,00AZ,Lewisham,Female,Hourly,13,4.9
2012,00AZ,Lewisham,Female,Hourly,13.42,6.5
2013,00AZ,Lewisham,Female,Hourly,13.86,6.1
2014,00AZ,Lewisham,Female,Hourly,14.06,5.9
2015,00AZ,Lewisham,Female,Hourly,13.92,6
2016,00AZ,Lewisham,Female,Hourly,14.4,5.8
2017,00AZ,Lewisham,Female,Hourly,14.84,5.7
2018,00AZ,Lewisham,Female,Hourly,14.47,5.6
2019,00AZ,Lewisham,Female,Hourly,14.24,4.6
2002,00BA,Merton,Female,Hourly,11.1,5.8
2003,00BA,Merton,Female,Hourly,11.2,7
2004,00BA,Merton,Female,Hourly,11.2,6.9
2005,00BA,Merton,Female,Hourly,11.7,7.1
2006,00BA,Merton,Female,Hourly,11,5.4
2007,00BA,Merton,Female,Hourly,12.3,6.4
2008,00BA,Merton,Female,Hourly,12.28,7.6
2009,00BA,Merton,Female,Hourly,13.03,6.1
2010,00BA,Merton,Female,Hourly,13.7,6.4
2011,00BA,Merton,Female,Hourly,13.55,6.3
2012,00BA,Merton,Female,Hourly,14.01,6
2013,00BA,Merton,Female,Hourly,13.4,5.8
2014,00BA,Merton,Female,Hourly,14.79,5.6
2015,00BA,Merton,Female,Hourly,14.38,4.9
2016,00BA,Merton,Female,Hourly,14.67,5.6
2017,00BA,Merton,Female,Hourly,14.77,6.7
2018,00BA,Merton,Female,Hourly,15.62,6.2
2019,00BA,Merton,Female,Hourly,15.63,7.1
2002,00BB,Newham,Female,Hourly,8.6,9.1
2003,00BB,Newham,Female,Hourly,9.1,8.9
2004,00BB,Newham,Female,Hourly,8.7,8.9
2005,00BB,Newham,Female,Hourly,9.9,6.2
2006,00BB,Newham,Female,Hourly,9.6,6.3
2007,00BB,Newham,Female,Hourly,9.6,9
2008,00BB,Newham,Female,Hourly,10.22,7.5
2009,00BB,Newham,Female,Hourly,10.01,7.9
2010,00BB,Newham,Female,Hourly,10.3,7.6
2011,00BB,Newham,Female,Hourly,10.35,5.8
2012,00BB,Newham,Female,Hourly,10.34,6.4
2013,00BB,Newham,Female,Hourly,10.58,6.2
2014,00BB,Newham,Female,Hourly,9.92,5.7
2015,00BB,Newham,Female,Hourly,9.96,5.6
2016,00BB,Newham,Female,Hourly,10.62,5.5
2017,00BB,Newham,Female,Hourly,11.82,5.5
2018,00BB,Newham,Female,Hourly,11.29,5.1
2019,00BB,Newham,Female,Hourly,12.85,6
2002,00BC,Redbridge,Female,Hourly,10.3,7.6
2003,00BC,Redbridge,Female,Hourly,10.6,8.1
2004,00BC,Redbridge,Female,Hourly,11,7.4
2005,00BC,Redbridge,Female,Hourly,11.4,8.3
2006,00BC,Redbridge,Female,Hourly,12.4,6.7
2007,00BC,Redbridge,Female,Hourly,13.3,6
2008,00BC,Redbridge,Female,Hourly,13.69,6.7
2009,00BC,Redbridge,Female,Hourly,13.25,7.6
2010,00BC,Redbridge,Female,Hourly,12.97,7.4
2011,00BC,Redbridge,Female,Hourly,12.77,5.7
